,Tên phim,Năm sản xuất,Thời gian xem,Đánh giá
334,Chuyện Xảy Ra Trong Đêm,(1934),105 min,8.1
335,All Quiet on the Western Front,(1930),152 min,8.1
336,Rạp Xiếc,(1928),72 min,8.1
337,Sunrise: A Song of Two Humans,(1927),94 min,8.1
338,Aida Và Cuộc Đàm Phán Sinh Tử,(2020),101 min,8.0
339,RRR (Rise Roar Revolt),(2022),187 min,8.0
340,Sói Lang Thang,(2020),103 min,8.0
341,Sát Thủ Vô Hình,(2016),106 min,8.0
342,Những Kẻ Khờ Mộng Mơ,(2016),128 min,8.0
343,Lion,(2016),118 min,8.0
344,Người Về Từ Sao Hỏa,(2015),144 min,8.0
345,Mommy,(I) (2014),139 min,8.0
346,Haider,(2014),160 min,8.0
347,Cuộc Sống Nhiệm Màu,(2020),100 min,8.0
348,Phi Vụ Động Trời,(2016),108 min,8.0
349,Bãhubali: The Beginning,(2015),159 min,8.0
350,Chuyện Công Chúa Kaguya,(2013),137 min,8.0
351,Special Chabbis,(2013),144 min,8.0
352,Người Giải Mã,(2014),114 min,8.0
353,Vệ Binh Dải Ngân Hà,(2014),121 min,8.0
354,Song of the Sea,(2014),93 min,8.0
355,Tội Phạm Nhân Bản 2049,(2017),164 min,8.0
356,Hạnh Phúc Ảo,(2013),126 min,8.0
357,Người Về Từ Cõi Chết,(2015),156 min,8.0
358,Câu Chuyện Tuổi Teen,(2012),103 min,8.0
359,Biệt Đội Tinh Nhuệ 2: Kẻ Thù Bên Trong,(2010),115 min,8.0
360,Nhà Vua Nói Lắp,(2010),118 min,8.0
361,Deadpool,(2016),108 min,8.0
362,Liên Minh Công Lý - Phiên bản của Zack Snyder,(2021),242 min,8.0
363,Diệp Vấn,(2008),106 min,8.0
364,Nefes: Vatan Sagolsun,(2009),128 min,8.0
365,Hành Tinh Cát,(2021),155 min,8.0
366,Người Tiễn Đưa,(2008),130 min,8.0
367,Giai Điệu Con Tim,(2021),111 min,8.0
368,Triệu Phú Ổ Chuột,(2008),120 min,8.0
369,Thiên Nga Đen,(2010),108 min,8.0
370,Biệt Đội Tinh Nhuệ,(2007),115 min,8.0
371,Avengers: Biệt Đội Siêu Anh Hùng,(2012),143 min,8.0
372,Giấc Mơ Kỳ Lạ,(2007),96 min,8.0
373,Lage Raho Munna Bhai,(2006),144 min,8.0
374,Mưu Cầu Hạnh Phúc,(2006),117 min,8.0
375,Kim Cương Máu,(2006),143 min,8.0
376,Siêu Điệp Viên 3: Tối Hậu Thư Của Bourne,(2007),115 min,8.0
377,Dare mo shiranai,(2004),141 min,8.0
378,Thành Phố Tội Ác,(2005),124 min,8.0
379,Tiếng Chuông Lặng Và Cánh Bướm,(2007),112 min,8.0
380,Cờ Thái Cực Giương Cao,(2004),140 min,8.0
381,G.O.R.A.,(2004),127 min,8.0
382,Sòng Bạc Hoàng Gia,(2006),144 min,8.0
383,Cô Dâu Báo Thù 2,(2004),137 min,8.0
384,"Xuân, Hạ, Thu, Đông... Rồi Lại Xuân",(2003),103 min,8.0
385,Mar adentro,(I) (2004),126 min,8.0
386,Võ Sĩ Quyền Anh,(2005),144 min,8.0
387,Vô Gian Đạo,(2002),101 min,8.0
388,Cá Lớn,(2003),125 min,8.0
389,Gia Đình Siêu Nhân,(2004),115 min,8.0
390,Yeopgijeogin geunyeo,(2001),137 min,8.0
391,Thị Trấn Dogville,(2003),178 min,8.0
392,Vizontele,(2001),110 min,8.0
393,Donnie Darko,(2001),113 min,8.0
394,Hương Mộc Lan,(1999),188 min,8.0
395,Neon Genesis Evangelion: The End of Evangelion,(1997),87 min,8.0
396,The Straight Story,(1999),112 min,8.0
397,Màu Của Ảo Giác,(1997),81 min,8.0
398,Central do Brasil,(1998),110 min,8.0
399,Huyền Thoại 1900,(1998),169 min,8.0
400,"Crna macka, beli macor",(1998),127 min,8.0
401,Sóng Gió Cuộc Đời,(1996),135 min,8.0
402,Secrets & Lies,(1996),136 min,8.0
403,12 Con Khỉ,(1995),129 min,8.0
404,Dilwale Dulhania Le Jayenge,(1995),189 min,8.0
405,Trùng Khánh Sâm Lâm,(1994),102 min,8.0
406,Andaz Apna Apna,(1994),160 min,8.0
407,Hương Đàn Bà,(1992),156 min,8.0
408,Aladdin,(1992),90 min,8.0
409,JFK,(1991),189 min,8.0
410,Người Đẹp Và Quái Vật,(1991),84 min,8.0
411,Khiêu Vũ Với Bầy Sói,(1990),181 min,8.0
412,Người Đàn Ông Trong Mưa,(1988),133 min,8.0
413,Akira,(1988),124 min,8.0
414,Cô Dâu Công Chúa,(1987),98 min,8.0
415,Der Himmel über Berlin,(1987),128 min,8.0
416,Tạm Biệt Những Đứa Trẻ,(1987),104 min,8.0
417,Laputa: Lâu đài trên không,(1986),125 min,8.0
418,Nàng Công Chúa Ở Thung Lũng Gió,(1984),117 min,8.0
419,Nostalgia,(1983),125 min,8.0
420,Pink Floyd: The Wall,(1982),95 min,8.0
421,Fitzcarraldo,(1982),158 min,8.0
422,Life of Brian,(1979),94 min,8.0
423,Being There,(1979),130 min,8.0
424,Annie Hall,(1977),93 min,8.0
425,Dog Day Afternoon,(1975),125 min,8.0
426,Zerkalo,(1975),107 min,8.0
427,Frankenstein Trẻ,(1974),106 min,8.0
428,Người Tù Khổ Sai,(1973),151 min,8.0
429,Viskningar och rop,(1972),91 min,8.0
430,Solaris,(1972),167 min,8.0
431,Sleuth,(1972),138 min,8.0
432,The Last Picture Show,(1971),118 min,8.0
433,Fiddler on the Roof,(1971),181 min,8.0
434,Butch Cassidy and the Sundance Kid,(1969),110 min,8.0
435,Rosemary's Baby,(1968),137 min,8.0
436,Hành Tinh Khỉ,(1968),112 min,8.0
437,Le Samouraï,(1967),105 min,8.0
438,Sinh Viên Tốt Nghiệp,(1967),106 min,8.0
439,Ai Sợ Virginia Woolf?,(1966),131 min,8.0
440,Con Báo,(1963),186 min,8.0
441,8½,(1963),138 min,8.0
442,El ángel exterminador,(1962),95 min,8.0
443,Dieu Gi Da Xay Ra Voi Baby Jane?,(1962),134 min,8.0
444,Sanjuro,(1962),96 min,8.0
445,Thời Thơ Ấu Của Ivan,(1962),95 min,8.0
446,Såsom i en spegel,(1961),90 min,8.0
447,The Hustler,(1961),134 min,8.0
448,La dolce vita,(1960),174 min,8.0
449,Rio Bravo,(1959),141 min,8.0
450,Anatomy of a Murder,(1959),161 min,8.0
451,Ngọn Đuốc Của Quỷ,(1958),95 min,8.0
452,Sweet Smell of Success,(1957),96 min,8.0
453,The Killing,(1956),84 min,8.0
454,Đêm Của Kẻ Đi Săn,(1955),92 min,8.0
455,La Strada,(1954),108 min,8.0
456,Stalag 17,(1953),120 min,8.0
457,Roman Holiday,(1953),118 min,8.0
458,Trưa Hè Nóng Bỏng,(1952),85 min,8.0
459,Kind Hearts and Coronets,(1949),106 min,8.0
460,Out of the Past,(1947),97 min,8.0
461,Roma città aperta,(1945),103 min,8.0
462,Brief Encounter,(1945),86 min,8.0
463,Chim Ưng Malta,(1941),100 min,8.0
464,The Shop Around the Corner,(1940),99 min,8.0
465,Bronenosets Potemkin,(1925),75 min,8.0
466,Das Cabinet des Dr. Caligari,(1920),76 min,8.0
467,Kẻ Đâm Lén,(2019),130 min,7.9
468,Kẻ Trộm Siêu Thị,(2018),121 min,7.9
469,Badhaai ho,(2018),124 min,7.9
470,Câu Chuyện Hôn Nhân,(2019),137 min,7.9
471,Super 30,(2019),154 min,7.9
472,Padman,(2018),140 min,7.9
473,Togo,(2019),113 min,7.9
474,Airlift,(2016),130 min,7.9
475,M.S. Dhoni: The Untold Story,(2016),184 min,7.9
476,Đội Đặc Vụ Baby,(I) (2015),159 min,7.9
477,Sing Street,(2016),106 min,7.9
478,Thor: Tận Thế Ragnarok,(2017),130 min,7.9
479,Nhóc Jojo,(2019),108 min,7.9
480,Điều Kỳ Diệu,(I) (2017),113 min,7.9
481,Cuộc Đổ Bộ Bí Ẩn,(II) (2016),116 min,7.9
482,Gully Boy,(2019),154 min,7.9
483,Rắc Rối Tuổi Teen,(2013),96 min,7.9
484,Đột kích 2: Kẻ sát nhân,(2014),150 min,7.9
485,Before Midnight,(2013),109 min,7.9
486,X-Men: Ngày Cũ Của Tương Lai,(2014),132 min,7.9
487,Batman: Vạch Trần Sự Thật,(2022),176 min,7.9
488,Bohemian Rhapsody: Huyền Thoại Ngôi Sao Nhạc Rock,(2018),134 min,7.9
489,Hoje Eu Quero Voltar Sozinho,(2014),96 min,7.9
490,Nghệ Sĩ,(I) (2011),100 min,7.9
491,Cuộc Chiến Luân Hồi,(2014),113 min,7.9
492,Amour,(2012),127 min,7.9
493,Cô Giáo Elly,(2009),119 min,7.9
494,Dev.D,(2009),144 min,7.9
495,Tên tôi là Khan,(2010),165 min,7.9
496,Låt den rätte komma in,(2008),114 min,7.9
497,Khu vực 9,(2009),112 min,7.9
498,Võ Sĩ,(2008),109 min,7.9
499,Jab We Met,(2007),138 min,7.9
500,Thời Thơ Ấu,(I) (2014),165 min,7.9
501,"4 Tháng, 3 Tuần và 2 Ngày",(2007),113 min,7.9
502,Star Trek: Du Hành Giữa Các Vì Sao,(2009),127 min,7.9
503,Căn Bệnh Thế Kỷ,(2013),117 min,7.9
504,Cặp Đôi Sát Thủ Ở Bruges,(2008),107 min,7.9
505,Người Bất Tử,(2007),87 min,7.9
